country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Tanzania,2017,uniqueid_1664,Urban,No,8,27,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,uniqueid_1665,Urban,Yes,12,17,Male,Parent,Divorced/Seperated,Primary education,No Income
Tanzania,2017,uniqueid_1666,Rural,Yes,2,20,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_1667,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1668,Urban,Yes,3,20,Female,Parent,Divorced/Seperated,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_1669,Urban,No,1,28,Male,Head of Household,Single/Never Married,No formal education,Informally employed
Tanzania,2017,uniqueid_1670,Urban,Yes,2,49,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1671,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,No formal education,Informally employed
Tanzania,2017,uniqueid_1672,Urban,No,2,80,Male,Other relative,Married/Living together,Primary education,No Income
Tanzania,2017,uniqueid_1673,Urban,Yes,1,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1674,Urban,No,3,35,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1675,Urban,Yes,3,36,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1676,Rural,Yes,2,40,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1677,Urban,No,2,28,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1678,Urban,Yes,5,17,Female,Other non-relatives,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1679,Urban,No,1,26,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1680,Rural,Yes,1,22,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1681,Rural,Yes,2,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1682,Urban,Yes,1,43,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1683,Urban,No,2,70,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1684,Urban,Yes,4,54,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Tanzania,2017,uniqueid_1685,Urban,No,1,64,Male,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_1686,Urban,No,2,37,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1687,Rural,No,3,20,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1688,Urban,Yes,6,35,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1689,Urban,No,2,40,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1690,Urban,No,4,16,Female,Parent,Divorced/Seperated,Primary education,No Income
Tanzania,2017,uniqueid_1691,Urban,No,4,28,Female,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1692,Urban,Yes,2,63,Male,Head of Household,Widowed,No formal education,Informally employed
Tanzania,2017,uniqueid_1693,Urban,No,3,50,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1694,Rural,Yes,3,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1695,Urban,No,2,68,Female,Head of Household,Widowed,No formal education,Informally employed
Tanzania,2017,uniqueid_1696,Urban,Yes,2,34,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1697,Urban,No,4,78,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1698,Urban,No,3,34,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1699,Urban,Yes,3,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1700,Urban,No,2,20,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1701,Urban,No,2,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
